system:index,area,elevation,fractal_dim,perimeter,.geo
65,24874065,2450,1.0744803907946898,30105,
66,24288295,2460,1.072752194509971,29436,
67,23726421,2470,1.0717644292646447,29040,
68,23173784,2480,1.0720398417425594,28579,
69,22624093,2490,1.0728144735895908,28142,
70,22074160,2500,1.0732085127137638,27744,
71,21503033,2510,1.0737357662664762,27238,
72,20953019,2520,1.0723391186174989,26706,
73,20415593,2530,1.0724154877328012,26380,
74,19895854,2540,1.072994802463441,26176,
75,19378587,2550,1.0731198739080465,25943,
76,18848574,2560,1.0719764043128137,25514,
77,18294581,2570,1.0716370522411716,25125,
78,17724252,2580,1.0720196776412263,24540,
79,17143246,2590,1.0729028147734763,24077,
80,16561204,2600,1.0747861330744137,23914,
81,15986253,2610,1.0760526595835211,23582,
82,15438072,2620,1.077785489358722,23404,
83,14881773,2630,1.078416508798822,22423,
84,14327229,2640,1.0810974622484377,22010,
85,13795791,2650,1.08153282959446,21617,
86,13284908,2660,1.081422753718964,21454,
87,12800075,2670,1.0811511166595824,21161,
88,12345828,2680,1.0820026809472303,20932,
89,11900344,2690,1.0814024382354765,20504,
90,11462107,2700,1.080714416964134,20264,
91,11046410,2710,1.080644441786919,20133,
92,10646405,2720,1.0824385900971012,19992,
93,10243693,2730,1.0844055561880295,19853,
94,9830623,2740,1.0846949592113468,19625,
95,9398277,2750,1.0832119011636965,19072,
96,8988397,2760,1.0817647482145756,18545,
97,8613403,2770,1.0820567940579318,18191,
98,8262862,2780,1.0819257085244798,17870,
99,7927852,2790,1.0606956475313378,17646,
100,7605667,2800,1.0613606260987156,17464,
101,7284280,2810,1.063439408951616,17145,
102,6976274,2820,1.0641583089880826,16724,
103,6685153,2830,1.0648079981385628,16414,
104,6403667,2840,1.0635594383735858,16197,
105,6130546,2850,1.0632409080622214,15974,
106,5862202,2860,1.0651093032011951,15791,
107,5597444,2870,1.065191820874572,15589,
108,5333003,2880,1.0661897793113575,15406,
109,5069118,2890,1.0655134436707412,15151,
110,4814555,2900,1.0666198247331968,14668,
111,4560710,2910,1.0686817511481965,14480,
112,4303120,2920,1.0731012261950192,14049,
113,4023223,2930,1.0707802562808681,13167,
114,3758306,2940,1.0723711963761726,12449,
115,3507333,2950,1.0800734655010662,10942,
116,3314263,2960,1.0836291970593759,10722,
117,3120079,2970,1.0854656127104538,10492,
118,2926850,2980,1.0841126040825906,10325,
119,2738481,2990,1.0671973851764998,10161,
120,2554970,3000,1.070866375102152,9903,
121,2349081,3010,1.0652522412179708,8830,
122,2189544,3020,1.0623815123157716,8400,
123,2036139,3030,1.0651968588189011,8130,
124,1878911,3040,1.0691283623452783,7873,
125,1701370,3050,1.0747440408769404,7702,
126,1527892,3060,1.0685553047215781,6937,
127,1360630,3070,1.068827701567168,6660,
128,1156248,3080,1.0719644345741595,6194,
129,933546,3090,1.0725756788941274,5203,
130,742947,3100,1.0537175469467717,4608,
